Time of immersion (hours);Frequency (Hz);Zre (ohms);Zim (ohms);Sample
1;100000;74,8140728398189;-1,46195647814169;LDH-M2-6-18h-DS
1;79432,8203125;72,9580873076432;-1,28453792536452;LDH-M2-6-18h-DS
1;63095,734375;72,8486615353061;-1,29872491400676;LDH-M2-6-18h-DS
1;50118,72265625;71,477024049583;-1,30271416706475;LDH-M2-6-18h-DS
1;39810,71875;71,1856628933759;-1,25305200095954;LDH-M2-6-18h-DS
1;31622,77734375;71,7882539466166;-1,38277284978334;LDH-M2-6-18h-DS
1;25118,865234375;70,9433153992404;-1,28444683928203;LDH-M2-6-18h-DS
1;19952,623046875;70,9761248006159;-1,3972848313744;LDH-M2-6-18h-DS
1;15848,931640625;71,019221686905;-1,57357997609222;LDH-M2-6-18h-DS
1;12589,25390625;71,081199513242;-1,71943880741845;LDH-M2-6-18h-DS
1;10000;71,1491932919897;-1,90356684250213;LDH-M2-6-18h-DS
1;7943,2822265625;71,3228762429042;-2,20793605755127;LDH-M2-6-18h-DS
1;6309,5732421875;71,4593818715142;-2,4692486332461;LDH-M2-6-18h-DS
1;5011,87255859375;72,0253633721357;-2,98294910468426;LDH-M2-6-18h-DS
1;3981,07177734375;72,2697360358344;-3,41103547048428;LDH-M2-6-18h-DS
1;3162,27758789063;72,394734325291;-3,97573169287472;LDH-M2-6-18h-DS
1;2511,88647460938;72,6914246608974;-4,76881009146173;LDH-M2-6-18h-DS
1;1995,26232910156;72,8005620933006;-5,50339700013087;LDH-M2-6-18h-DS
1;1584,89318847656;73,1550499297673;-6,51276745304779;LDH-M2-6-18h-DS
1;1258,92541503906;73,5429850497473;-7,82787394670924;LDH-M2-6-18h-DS
1;1000;74,0697004446377;-9,28573174154114;LDH-M2-6-18h-DS
1;794,328247070313;74,6406749078837;-11,1186147641873;LDH-M2-6-18h-DS
1;630,957336425781;75,4993812617843;-13,3644562182294;LDH-M2-6-18h-DS
1;501,187225341797;76,3050861547308;-16,0080750863561;LDH-M2-6-18h-DS
1;398,107177734375;77,3990968084401;-19,1966841278645;LDH-M2-6-18h-DS
1;316,227752685547;78,8551252248792;-23,3361800353747;LDH-M2-6-18h-DS
1;251,18864440918;80,5054055489837;-27,7954634435724;LDH-M2-6-18h-DS
1;199,526229858398;82,7996926882744;-33,7051548428983;LDH-M2-6-18h-DS
1;158,489318847656;86,0816952475587;-40,8022651537722;LDH-M2-6-18h-DS
1;125,892539978027;89,9305192837997;-48,3091001994118;LDH-M2-6-18h-DS
1;100;95,3370978228769;-57,5548315496902;LDH-M2-6-18h-DS
1;79,4328231811523;102,431255773891;-68,0577837530601;LDH-M2-6-18h-DS
1;63,0957336425781;110,91120933977;-78,6755083253368;LDH-M2-6-18h-DS
1;50,118724822998;122,297398638046;-90,9229222577549;LDH-M2-6-18h-DS
1;39,810718536377;137,125576488283;-103,956411262112;LDH-M2-6-18h-DS
1;31,6227760314941;152,86794064988;-115,13787620413;LDH-M2-6-18h-DS
1;25,1188640594482;171,646340495958;-126,479477300921;LDH-M2-6-18h-DS
1;19,9526233673096;193,893048579854;-136,986513732339;LDH-M2-6-18h-DS
1;15,8489322662354;215,274066175253;-145,559431514603;LDH-M2-6-18h-DS
1;12,5892543792725;238,188215886563;-152,945630075234;LDH-M2-6-18h-DS
1;10;261,088235732819;-159,888183144956;LDH-M2-6-18h-DS
